Product,Description,Price,Barcode,Photo file
DUNKIN ORIGINAL,Medium roast K-Cup - 72 ct box,$2.00,881334009613,dunkin_reg.png
DUNKIN DECAF,Medium roast K-Cup pod,$2.00,881334010534,dunkin_decaf.png
TWININGS TEA,Tea bags,$1.00,070177075101,tea.png
CHIPS AHOY,Chocolate chip - single serve,$1.00,044000043148,chipsahoy.png
OREO,Chocolate sandwich - 2.4 oz,$1.00,044000047009,oreo2.png
FAMOUS AMOS,Chocolate chip - 2 oz pouch,$1.00,076677100145,famousamos3.png
LORNA DOONE,"Shortbread - 6 cookies, 1.5 oz",$1.00,044000013141,lornadoone3.png
RICE KRISPIES TREATS,Original marshmallow bar,$1.00,,ricekrispies.png
BELVITA CINNAMON,Crunchy brown sugar - 1.76 oz,$1.00,044000031930,belvita_cin3.png
BELVITA BLUEBERRY,Crunchy blueberry - 1.76 oz,$1.00,044000028282,belvita_blu3.png
POP-TARTS,"Frosted - strawberry, cherry, blueberry",$1.00,038000286063,poptarts2.png
CHEETOS FLAMIN HOT,Crunchy cheese snacks - 2 oz,$1.00,028400047913,ch_cheetos3.png
CHEETOS LIMON,Crunchy Flamin' Hot Limon - 1.75 oz,$1.00,028400047920,ch_limon3.png
CHESTER'S FRIES,Flamin' Hot corn snacks - 2 oz,$1.00,028400043014,ch_chesters3.png
DORITOS FLAMIN HOT,Nacho tortilla chips - 1.75 oz,$1.00,028400217019,ch_doritos3.png
FUNYUNS FLAMIN HOT,Onion flavored rings - 1.25 oz,$1.00,028400089326,ch_funyuns3.png
MV JALAPENO,Kettle chips - 1.375 oz,$1.00,028400012553,mv_jalapeno3.png
MV SEA SALT,Kettle chips - 1.375 oz,$1.00,028400009973,mv_seasalt3.png
MV SPICY DILL PICKLE,Kettle chips - 1.375 oz,$1.00,028400725743,mv_dill3.png
MV SALT & VINEGAR,Kettle chips - 1.375 oz,$1.00,028400012546,mv_saltvin3.png
MV SMOKEHOUSE BBQ,Kettle chips - 1.375 oz,$1.00,028400010436,mv_bbq3.png
SUN CHIPS CHEDDAR,Harvest cheddar - 1.5 oz,$1.00,028400073264,sc_cheddar3.png
SUN CHIPS SALSA,Garden salsa - 1.5 oz,$1.00,028400048026,sc_salsa3.png
SUN CHIPS ORIGINAL,Whole grain - 1.5 oz,$1.00,028400073257,sc_original3.png
SUN CHIPS FRENCH ONION,French onion - 1.5 oz,$1.00,028400043489,sc_onion3.png
LAY'S CLASSIC,Potato chips,$1.00,028400091565,laysclassic2.png
LAY'S BARBECUE,Potato chips,$1.00,028400003001,laysbbq2.png
RUFFLES CHEDDAR,Cheddar & sour cream,$1.00,028400002912,ruffles2.png
DORITOS COOL RANCH,Tortilla chips,$1.00,028400070546,coolranch2.png
DORITOS NACHO CHEESE,Tortilla chips,$1.00,028400070560,nacho2.png
CHEETOS CRUNCHY,Cheese flavored snacks,$1.00,028400047906,cheetos2.png
FRITOS ORIGINAL,Corn chips,$1.00,028400047937,fritos2.png
MUNCHIES CHEESE FIX,Snack mix - 1.375 oz,$1.00,028400025287,munchies2.png
PRINGLES ORIGINAL,Potato crisps - grab & go can,$1.00,038000845512,PRINGLES_ORIGINAL.jpg
PRINGLES CHEDDAR CHEESE,Cheddar cheese - 1.4 oz can,$1.00,038000845536,PRINGLES_CHEDDAR_CHEESE.jpg
PRINGLES SOUR CREAM,Sour cream & onion - 1.4 oz can,$1.00,038000845529,PRINGLES_SOUR_CREAM.jpg
ACT II POPCORN,Butter lovers - microwave,$1.00,076150011265,actii2.png
